"manufacturer" "model" "description" "euro_standard" "transmission_type" "engine_capacity" "fuel_type" "urban_metric" "extra_urban_metric" "combined_metric" "noise_level" "co2" "co_emissions" "nox_emissions"
"Volkswagen" "California Motor Home" "2.5 TDI 174ps 4MOTION with DPF" "4" "Manual" 2461 "Diesel" 11.8 7.7 9.2 75 243 266 323
"Vauxhall" "Vectra, MY2005" "3.2i V6 24v 5 Door Estate" "4" "Manual" 3175 "Petrol" 14.3 7.6 10.1 74 242 702 13
"Peugeot" "107" "1.0 (65 bhp)" "4" "Automatic" 998 "Petrol" 5.5 4.1 4.6 72 109 350 30
"Seat" "Alhambra" "1.8 20V Turbo (150 bhp)" "4" "Manual" 1781 "Petrol" 13.1 7.4 9.5 74 228 545 17
"Vauxhall" "Vectra, MY2005" "1.8i 16v 5 Door Estate" "4" "Manual" 1796 "Petrol" 11 6.1 7.9 72 190 648 9
"Vauxhall" "Vectra, MY2006" "2.2i 16v Direct 5 Door Hatchback with 16\"/17\" tyre" "4" "Manual" 2198 "Petrol" 10.3 5.9 7.5 73 180 478 21
"MG Rover Group" "Rover 75 Saloon" "2.5" "3" "Automatic" 2497 "Petrol" 15.2 7.7 10.4 70 249 379 77
"Hyundai" "Matrix" "1.8l DOHC" "3" "Manual" 1795 "Petrol" 10.8 6.7 8.3 74 198 480 20
"Skoda" "Superb" "2.5 V6 TDI (160 bhp)" "4" "Manual" 2496 "Diesel" 10 5.5 7.1 74 192 314 178
"Volvo" "V70 Model Year 06" "2.5 T AWD" "4" "Manual" 2521 "Petrol" 13.6 7.7 9.9 69 237 155 38
"Volkswagen" "New Golf Plus" "1.4 TSI 122PS 7speed DSG" "5" "Automatic" 1390 "Petrol" 8 5.3 6.3 70 146 215 32
"Volkswagen" "Tiguan" "2.0 TSI 180PS 4MOTION 7speed DSG SE" "5" "Automatic" 1984 "Petrol" 11.8 6.7 8.6 71 199 205 34
"Audi" "A3 (from NOV 06 Wk 45 >)" "2.0 TDI 140ps" "4" "Manual" 1968 "Diesel" 7.2 4.6 5.5 75 146 103 239
"Vauxhall" "Meriva Model Year 2010" "1.4i 16v VVT Turbo (140ps)" "5" "Manual" 1364 "Petrol" 8.8 5.4 6.7 72 156 615.8 9.5
"Skoda" "Superb" "Classic 1.9 TDI (130 bhp)" "3" "Manual" 1896 "Diesel" 7.8 4.7 5.8 74 154 151 382
"Volkswagen" "T5 Shuttle Model Year 2010" "2.0 TDI (102ps)" "5" "Manual" 1968 "Diesel" 9.5 6.1 7.3 72 193 195 193
"BMW" "5 Series E60/E61" "530d Saloon" "4" "Automatic" 2993 "Diesel" 10.3 5.9 7.5 73 200 189 185
"Audi" "A6 Avant" "3.2 V6 FSI 256ps quattro" "4" "Manual" 3123 "Petrol" 15.6 8 10.8 74 257 808 38
"Seat" "Arosa" "1.4 Tdi" "3" "Manual" 1422 "Diesel" 5.7 3.6 4.4 73 119 182 455
"Honda" "Accord Tourer, Model Year 2012" "2.0 i-VTEC ES GT" "5" "Automatic" 1997 "Petrol" 10.2 5.7 7.3 71 173 327 24
"BMW" "5 Series F10/F11 From March 2010" "520d Saloon - 245/45 R18 tyres front & rear" "6" "Manual" 1995 "Diesel" 5.8 4.4 4.9 75 130 103 26
"Mercedes-Benz" "C Class Saloon (F/Lift)" "C200 Kompressor 245 Tyres" "4" "Manual" 1796 "Petrol" 11 6.5 8.2 74 197 238 21
"Audi" "A6 Saloon" "2.8 V6 FSI 210ps Multitronic" "4" "Automatic" 2773 "Petrol" 12.8 6.5 8.8 73 209 217 53
"Kia" "Venga" "'2' 1.4 CRDI 89bhp 6-speed manual" "5" "Manual" 1396 "Diesel" 5 4.2 4.5 70 119 335 141
"BMW" "3 Series E46" "330d Touring (up to February 2004 production)" "3" "Manual" 2993 "Diesel" 9.4 5.3 6.8 74 182 200 300
"Kia" "Optima" "'3' 1.7 CRDi 134bhp" "5" "Automatic" 1685 "Diesel" 7.9 4.9 6 71.8 158 198 119
"Volvo" "S60 Model Year 13" "T3 Auto" "5" "Automatic" 1596 "Petrol" 9.6 5.6 7.1 71 164 282 22
"Volkswagen" "Touareg" "3.0 V6 TSI Hybrid 333PS" "5" "Automatic" 2995 "Hybrid" 8.7 7.9 8.2 75 193 220 45
