"manufacturer" "model" "description" "euro_standard" "transmission_type" "engine_capacity" "fuel_type" "urban_metric" "extra_urban_metric" "combined_metric" "noise_level" "co2" "co_emissions" "nox_emissions"
"BMW" "5 Series F10/F11 From March 2010" "520d Saloon - 245/40 R19 tyres front & 275/35 R19 tyres rear" "6" "Manual" 1995 "Diesel" 6 4.5 5 75 133 103 26
"Lexus" "RX, MY2012" "RX450h F Sport" "5" "Automatic" 3456 "Hybrid" 6.5 6 6.3 71.6 145 245 7
"Volvo" "S80 Model Year 2010" "1.6D DRIVe" "4" "Manual" 1560 "Diesel" 5.9 4.3 4.9 73 129 229 196
"Vauxhall" "Astra MY2008 3 Door Hatchback" "1.8i 16v VVT with 17/18\" wheel" "4" "Manual" 1796 "Petrol" 10.1 6 7.5 73 180 355 57
"Skoda" "Octavia Hatch" "Elegance 1.9 TDI (110 bhp)" "3" "Manual" 1896 "Diesel" 6.8 4.3 5.2 74 140 100 400
"Hyundai" "Trajet" "2.7l V6 DOHC" "3" "Automatic" 2656 "Petrol" 15.8 8.7 11.3 73 271 370 10
"Vauxhall" "Astra 5 Door Hatchback Model Year 2010" "1.7CDTi 16v (125ps) with 16/17 inch wheels" "5" "Manual" 1686 "Diesel" 5.7 4.1 4.7 70 124 189 129
"BMW" "3 Series E46" "318i Touring" "3" "Automatic" 1995 "Petrol" 11.4 6.4 8.2 74 199 1000 42
"Volvo" "XC60 Model Year 2012" "D3 AWD Manual" "5" "Manual" 2400 "Diesel" 6.5 5.1 5.7 72 149 265 133
"Mazda" "Mazda3 Model Year 2010" "1.6 (115PS)" "5" "Manual" 1560 "Diesel" 5.3 3.9 4.4 68 117 315 148
"Chevrolet" "Captiva, MY2013" "2.2 VCDi (184PS) AWD Stop/Start" "5" "Manual" 2231 "Diesel" 7.9 5.6 6.4 73 170 164 167
"Dodge" "Avenger" "09MY 2.0td" "4" "Automatic" 1968 "Diesel" 8.2 5.1 6.2 70 164 114 193
"Ford" "Focus" "1.6i 16V Estate (14 inch tyre)" "3" "Manual" 1596 "Petrol" 9.4 5.4 6.8 69 163 400 100
"Saab" "9-3 Sport Convertible" "2.0t Aero 210hp B207R" "4" "Manual" 1998 "Petrol" 12 7.1 8.9 74 213 770 20
"Porsche" "Cayenne" "6-speed Euro 5" "5" "Manual" 3598 "Petrol" 15.9 8.5 11.2 74 263 418 14
"Volvo" "XC70 Model Year 2012" "D3 AWD Manual" "5" "Manual" 2400 "Diesel" 6.5 5.1 5.6 73 149 319 121
"Fiat" "Punto" "1.4 8v" "5" "Manual" 1368 "Petrol" 7.4 4.7 5.7 72 132 474 34
"Hyundai" "Matrix" "1.5l CRTD" "3" "Manual" 1493 "Diesel" 7.6 5 6 74 158 200 400
"Renault" "Mégane Hatch / Sport Hatch" "1.6 16V Auto (C/BM0J0A)" "3" "Automatic" 1598 "Petrol" 10.7 6 7.7 70 184 370 46
"Vauxhall" "Corsa, MY2005" "1.3CDTi 16v 5 Door Hatchback +16/17\" tyre From VIN: W0L0XCF6854140999" "4" "Manual" 1248 "Diesel" 5.8 3.9 4.6 71 124 141 196
"Ford" "Transit Tourneo SWB Bus (FWD)" "2.0 TDDi 73.6kW (100PS) 4.54 FDR" "3" "Manual" 1998 "Diesel" 9.9 6.7 7.9 74 209 132 654
"Volvo" "V60 Model Year 13" "T3 Auto" "5" "Automatic" 1596 "Petrol" 9.9 5.9 7.4 71 171 296 23
"Mercedes-Benz" "C-Class Saloon Model Year 2010" "C 180 CGI BlueEFFICIENCY with 195/60 16\" rear wheels" "5" "Automatic" 1796 "Petrol" 9.9 5.4 7 70 163 203 41
"BMW" "3 Series E90/E91/E92/E93" "325d Touring - with particle filter" "4" "Manual" 2993 "Diesel" 7.8 4.8 5.9 74 155 129 204
"Mercedes-Benz" "Vaneo" "1.9 Family" "3" "Manual" 1898 "Petrol" 10.7 6.7 8.2 72 197 515 36
"Hyundai" "Santa Fe" "2.2l CRTD (5 Seat)" "4" "Automatic" 2188 "Diesel" 10.4 6.7 8.1 72 212 43 287
"Volkswagen" "Caravelle" "2.5P (114 PS)" "3" "Automatic" 2461 "Petrol" 17.6 10 12.7 72 305 1300 100
"Mitsubishi" "Shogun 2007MY on" "Equippe LWB" "4" "Automatic" 3200 "Diesel" 13.1 9.1 10.6 70 280 129 256
"Volkswagen" "Jetta" "1.4 TSI 160PS 7speed DSG" "5" "Automatic" 1390 "Petrol" 7.5 5.2 6 70 139 260 26
"Mercedes-Benz" "B-Class Saloon Model Year 2010" "B 200 CDI with 2055/55 16\" rear wheels" "4" "Automatic" 1991 "Diesel" 7.6 5 6 71 159 124 223
"Honda" "Civic 3 Door (2001 YM)" "1.6i VTEC SE" "3" "Automatic" 1590 "Petrol" 9.6 5.7 7.1 71.6 169 606 51
"Toyota" "Avensis" "Verso 2.0 VVT-i" "3" "Automatic" 1998 "Petrol" 12 7.3 8.9 71.1 213 970 90
"Honda" "Civic 5 door Model Year 2012" "1.8 i-VTEC EX GT" "5" "Manual" 1798 "Petrol" 7.6 5.2 6.1 70 145 327 9
"Vauxhall" "Vectra MY2008 5 Door Estate" "1.9CDTi 16v 150PS with 19\" wheel" "4" "Manual" 1910 "Diesel" 7.6 4.9 5.9 74 159 143 183
"Mini" "MINI Countryman R60, From September 2010" "MINI One Countryman" "5" "Manual" 1598 "Petrol" 7.4 5.2 6 74 139 649 15
"Seat" "Exeo" "2.0 TSI 200ps Multitronic Sport" "5" "Automatic" 1984 "Petrol" 10.6 6 7.7 70 179 186 16
"Vauxhall" "New Astra, MY2006" "1.6i 16v 5 Door Hatchback with 17\" tyre" "4" "Manual" 1598 "Petrol" 8.8 5.6 6.8 71 163 465 19
"Vauxhall" "New Astra, MY2007" "1.8i 16v VVT 5 Door Hatchback with 15/16\" tyre" "4" "Manual" 1796 "Petrol" 9.9 5.8 7.3 73 175 355 57
"Volkswagen" "Window Van" "2.5P (114 bhp)" "3" "Manual" 2461 "Petrol" 17 9.5 12.2 74 293 1709 79
"Fiat" "Stilo" "1.6 16v Active 5 door" "3" "Manual" 1596 "Petrol" 10.3 5.8 7.4 72 176 425 54
"Lexus" "GS MY2012" "GS450h 19 inch wheels" "5" "Automatic" 3456 "Hybrid" 6.9 5.7 6.2 70 145 185 6
"Mitsubishi" "Galant - Estate" "2.4 GDI Equippe" "3" "Manual" 2351 "Petrol" 12.1 6.8 8.7 72 210 253 75
"Mercedes-Benz" "SLK-Class (R171)" "280 225 Tyres at rear" "4" "Automatic" 2997 "Petrol" 12.9 7 9.3 74 222 312 8
"Volkswagen" "Sharan" "1.9 TDI PD Tiptronic (115 PS)" "3" "Automatic" 1896 "Diesel" 9.9 6.5 7.8 73 211 200 500
"Renault" "New Mégane Hatch" "1.5 dCi 86 BZ0A05" "4" "Manual" 1461 "Diesel" 5.3 4.1 4.5 73 118 175 224
"Fiat" "Doblo" "1.3 16v MultiJet (85 bhp) Low Roof and Family" "4" "Manual" 1248 "Diesel" 6.7 4.8 5.5 72 145 134 217
"Vauxhall" "Corsa, MY2007 3 Door Hatchback" "1.4i 16v with close ratio gearbox" "4" "Manual" 1364 "Petrol" 8.1 5.1 6.2 72 149 263 25
"Ford" "Mondeo, Model Year Post 2010" "1.8 Duratorq TDCi (125PS) Estate (ECO)" "4" "Manual" 1753 "Diesel" 6.9 4.5 5.4 69 142 275 235
"Mercedes-Benz" "M-Class (W163) Estate" "ML350" "3" "Automatic" 3724 "Petrol" 17.7 9.8 12.7 73 305 248 42
"Ford" "Mondeo, Model Year Pre 2013" "1.6 Duratorq ECOnetic (115PS) Stop-Start Estate (+DPF)" "5" "Manual" 1560 "Diesel" 5 3.9 4.3 68.8 114 171 148
"Mercedes-Benz" "R-Class (251)" "R350 LWB 19/20\" wheels" "4" "Automatic" 3498 "Petrol" 15.8 9.3 11.7 73 279 260 11
"Renault" "Grand Espace" "2.0 dCi 150 Auto FAP" "4" "Automatic" 1995 "Diesel" 10.6 6.8 8.2 75 217 181 367
"MG Rover Group" "Rover 25" "1.6 (from VIN RF637299)" "3" "Automatic" 1588 "Petrol" 11.1 5.7 7.7 68 184 628 29
"Volkswagen" "Touareg" "3.6 V6 (280ps) Tiptronic" "4" "Automatic" 3189 "Petrol" 18 9.2 12.4 75 296 445 29
"Porsche" "Panamera" "Hybrid Tiptronic" "5" "Automatic" 2995 "Hybrid" 7.4 6.6 6.8 72 159 278 40
"Ford" "Mondeo Model Year Post 2012" "1.6 Duratec EcoBoost (160PS) Estate" "5" "Manual" 1596 "Petrol" 8.2 5.4 6.4 69 149 404 14
"Ford" "Focus, Model Year Pre 2010¼" "2.5 Duratec RS (305PS) 3 Door Saloon" "4" "Manual" 2521 "Petrol" 13.4 7 9.4 75 225 508 62
"Honda" "Accord 4 Door (2002 YM)" "2.2i Type - R" "3" "Manual" 2157 "Petrol" 12.9 7.8 9.6 72 229 704 76
"Peugeot" "407 SW" "3.0 V6 (211 bhp)" "4" "Automatic" 2946 "Petrol" 14.6 7.1 9.9 74 236 520 23
"Rolls-Royce" "Phantom Drophead Coupé" "Rolls-Royce Phantom Drophead Coupé" "4" "Automatic" 6749 "Petrol" 23.2 11.3 15.7 72 377 303 17
"Honda" "Accord 06 Tourer" "2.4 i-VTEC Type-S" "4" "Manual" 2354 "Petrol" 13.3 7.7 9.7 72.6 230 510 24
"Audi" "A6 Avant" "3.0 V6 FSI 290PS quattro Tiptronic" "5" "Automatic" 2995 "Petrol" 13.3 7.2 9.5 74 223 769 59
"Honda" "Insight Model Year 2010" "1.3 IMA S 5 door" "5" "Automatic" 1339 "Hybrid" 4.6 4.2 4.4 67 101 50 7
"Volvo" "C70 Coupé/Convertible Model Year 2001" "T5" "3" "Manual" 2319 "Petrol" 13.6 7.8 9.9 70 236 1128 37
"Mercedes-Benz" "CLC-Class" "CLC 200 Kompressor 245 Tyres at rear on 18\" Wheels" "4" "Automatic" 1796 "Petrol" 11.9 6.7 8.6 70 204 401 15
"Porsche" "All Models" "911 Carrera 4 Coupé Tiptronic S" "3" "Automatic" 3387 "Petrol" 18.6 8.8 12.4 73 304 505 66
"Honda" "Jazz, Model Year 2012" "1.3 IMA" "5" "Automatic" 1339 "Hybrid" 4.6 4.4 4.5 68 104 70 3
"Audi" "Cabriolet (from NOV 06 Wk 45 >)" "3.2 V6 FSI quattro 256ps Tiptronic" "4" "Automatic" 3123 "Petrol" 16.1 8.2 11.1 72 266 480 26
"BMW" "5 Series F10/F11 From March 2010" "520d Saloon - 245/40 R19 tyres front & 275/35 R19 tyres rear" "6" "Automatic" 1995 "Diesel" 5.7 4.6 5 73 131 175 41
"Mazda" "Mazda5 (2008 MY)" "2.0 TD (110PS & 143PS)" "4" "Manual" 1998 "Diesel" 7.3 5.4 6.1 71.7 159 91 126
"Chevrolet" "Chevrolet, Model Year 2002" "Corvette Coupé/Conv." "3" "Automatic" 5666 "Petrol" 17.3 9.1 12.1 74 290 238 28
"Fiat" "Bravo" "1.6 MultiJet 105 ECO" "5" "Manual" 1598 "Diesel" 5.6 3.7 4.4 71.5 115 343 154
"Mazda" "CX-5 Model Year 2012" "2.2 SKYACTIV-D (150PS) 4WD" "6" "Automatic" 2191 "Diesel" 6.4 4.9 5.5 70.7 144 141 73
"Volkswagen" "Passat  Saloon" "2.0 (115 bhp)" "4" "Manual" 1984 "Petrol" 12.1 6.6 8.6 73 206 337 16
"Mercedes-Benz" "New C-Class (CL203) Sports Coupé" "C 180" "3" "Manual" 1998 "Petrol" 13.8 6.9 9.4 73 225 223 74
"Nissan" "X - Trail, 2011" "2.0 dCi 173" "5" "Manual" 1995 "Diesel" 7.8 5.5 6.4 69.8 168 283 143
"Ford" "Galaxy, Model Year Post 2010" "2.0 Duratorq (115PS) (+DPF)" "5" "Manual" 1997 "Diesel" 7.2 4.9 5.7 70 152 357 165
"Volkswagen" "Beetle (from NOV 06 Wk 45 >)" "1.4 (75 PS) Luna" "4" "Manual" 1390 "Petrol" 9.4 5.8 7.1 72 169 191 45
"Mitsubishi" "Galant - Estate" "2.0 EQUIPPE" "3" "Manual" 1997 "Petrol" 12 7 8.8 71 210 673 42
"Seat" "Alhambra" "1.4 TSI 150PS Stop-Start" "5" "Manual" 1390 "Petrol" 9.2 6.1 7.2 74 167 713 43
"Subaru" "Legacy (2006 Model Year)" "2.0 AWD Saloon" "4" "Automatic" 1994 "Petrol" 11.7 6.7 8.7 69.9 202 330 35
"Hyundai" "Getz" "1.4l DOHC" "4" "Manual" 1399 "Petrol" 7.5 5.1 6 71 141 434 14
"BMW" "1 Series 5-door F20 From September 2011" "120d 5-door - 225/45 R17 tyres front & rear" "6" "Manual" 1995 "Diesel" 5.8 4.1 4.7 74 124 174 72
"Jaguar Cars" "X Type" "2.5L Saloon" "4" "Manual" 2497 "Petrol" 13.6 7.2 9.6 74 234 222 4
"Mercedes-Benz" "E-Class Saloon, Model Year 2011" "E 350 CDI with 17\" rear wheels" "5" "Automatic" 2987 "Diesel" 7.9 5.2 6.2 72 162 258 148
"Volkswagen" "Caravelle" "2.5P (114 bhp)" "3" "Manual" 2461 "Petrol" 17 9.5 12.2 74 293 1700 100
"Mercedes-Benz" "SLS AMG, Model Year 2013" "SLS AMG with 20\" rear wheels" "5" "Automatic" 6208 "Petrol" 19.9 9.3 13.2 74 308 452 33
"Alfa Romeo" "156 Sportwagon 2002 MY Range" "GTA" "3" "Manual" 3179 "Petrol" 18.4 8.8 12.3 74 293 610 64
"Peugeot" "306" "2.0 HDi (90 bhp)" "3" "Manual" 1997 "Diesel" 7.2 4.3 5.4 73.3 141 548 408
"Mitsubishi" "Lancer Estate" "1.6" "4" "Automatic" 1584 "Petrol" 10.7 6.8 8.2 72 195 210 10
"Ford" "Focus, Model Year Post 2013.30" "1.6 Duratec Ti-VCT (85PS)  5 Door" "5" "Manual" 1596 "Petrol" 8 4.7 5.9 70 136 435 41
"Honda" "Insight Model Year 2010" "1.3 IMA SE 5 door" "5" "Automatic" 1339 "Hybrid" 4.6 4.2 4.4 67 101 50 7
"MG Rover Group" "Streetwise" "1.8" "3" "Automatic" 1796 "Petrol" 11.2 4.9 6 72 199 570 50
"Porsche" "Boxster" "Sport Edition Tiptronic S VarioCam Plus" "4" "Automatic" 2687 "Petrol" 14.9 7.7 10.1 74 242 276 18
"Mini" "MINI Clubman R55" "MINI Cooper Clubman" "4" "Manual" 1598 "Petrol" 7.1 4.5 5.5 73 132 424 12
"Citroen" "New C3" "1.4HDi 70hp" "5" "Manual" 1398 "Diesel" 4.7 3.8 4.1 72.1 107 281 131
"Mini" "MINI Convertible R57" "MINI John Cooper Works Convertible" "5" "Manual" 1598 "Petrol" 9.6 5.9 7.3 75 169 764 11
"Renault" "Scènic" "2.0 T 165 (JM0W06)" "3" "Manual" 1998 "Petrol" 11.2 6.3 8.1 70.9 194 692 61
"Mercedes-Benz" "Vito, Model Year 2011" "113CDI Traveliner Long EU5 BlueEFFICIENCY" "5" "Automatic" 2143 "Diesel" 10.1 6.9 8.1 71 213 78 243
"Mazda" "Mazda6" "2.0 4/5 Door" "3" "Automatic" 1999 "Petrol" 11.9 6.9 8.8 73.3 209 600 100
"Renault" "New Mégane Hatchback" "TCe 1.4 130" "5" "Manual" 1397 "Petrol" 8.4 5.1 6.3 71.1 145 550 25
"Ford" "Fusion Pre-2006 Model Year" "1.6 Duratorq TDCi" "4" "Manual" 1560 "Diesel" 5.5 4 4.6 71 122 173 192
"Mini" "MINI R52" "MINI Cooper S Convertible with John Cooper Works Tuning Kit" "4" "Manual" 1598 "Petrol" 11.8 7.1 8.8 75 211 740 57
"Renault" "Megane Renault Sport, 2012" "265 Cup and Stop Start" "5" "Manual" 1998 "Petrol" 9.8 6.2 7.5 73.9 174 776 30
"BMW" "5 Series E60/E61" "525d Saloon - with particle filter - from March 2007" "4" "Automatic" 2993 "Diesel" 8.5 5.3 6.5 72 172 186 175
"Kia" "cee'd" "1.4" "5" "Manual" 1396 "Petrol" 7.2 5.1 5.8 71 139 188 19
"Skoda" "Octavia Estate" "1.2 TSI 105PS" "5" "Manual" 1197 "Petrol" 7.1 4.9 5.7 74 134 656 40
"Renault" "Espace" "1.9 dCi (JK0GA6)" "3" "Manual" 1870 "Diesel" 8.6 5.8 6.8 72 183 337 694
"Toyota" "Yaris MY2012" "1.4 D-4D 6-speed Man" "5" "Manual" 1364 "Diesel" 4.8 3.5 3.9 69 104 193 141
"BMW" "5 Series F10/F11 From March 2010" "530i Touring - 245/40 R19 tyres front & rear" "5" "Automatic" 2996 "Petrol" 10.7 6.3 7.9 74 184 115 31
"Vauxhall" "Vectra, MY2008 4 Door Saloon" "1.9CDTi 16v 150PS with 16/17/18\" wheel" "4" "Automatic" 1910 "Diesel" 9.4 5.3 6.8 72 184 31 221
"BMW" "6 Series E63/E64" "630i Convertible - SMG - up to February 2005" "4" "Manual" 2996 "Petrol" 13.6 7.3 9.6 73 229 359 22
"Jaguar Cars" "XF Sportbrake, Model Year 2013" "2.2L TDI4 (163 & 200PS) with Std (non-ECO) tyres" "5" "Automatic" 2179 "Diesel" 6.2 4.7 5.2 73 139 120 154
"Lexus" "CT200h, MY2013" "CT200h Premier" "5" "Automatic" 1798 "Hybrid" 4.1 4 4.1 67.7 94 187 3
"Seat" "Exeo ST" "2.0 CR TDI 120PS SE" "5" "Manual" 1968 "Diesel" 7.4 4.1 5.3 72 139 206 155
"Hyundai" "New Santa Fe" "2.2l CRTD (5 & 7 Seat)" "4" "Manual" 2188 "Diesel" 9.4 6 7.3 72 191 311 315
"Vauxhall" "New Astra, MY2006" "1.8i 16v 3 Door Hatchback with 17\" tyre" "4" "Manual" 1796 "Petrol" 10.6 6.3 7.9 72 190 469 10
"Ford" "Ka" "1.3 EFi (13 inch tyre)" "3" "Manual" 1299 "Petrol" 8.3 5.2 6.3 72 154 395 103
"Jaguar Cars" "XJ" "3.0 Saloon" "3" "Automatic" 2967 "Petrol" 15.3 7.7 10.5 72 249 662 118
"Lexus" "CT200h, MY2013" "CT200h S" "5" "Automatic" 1798 "Hybrid" 3.7 3.7 3.8 67 87 187 3
"Citroen" "C4" "1.4 VTi 95hp" "5" "Manual" 1397 "Petrol" 8.2 4.9 6.1 73.6 140 225 34
"BMW" "5 Series F10/F11 From March 2010" "530d Touring - 225/55 R17 tyres front & rear" "6" "Automatic" 2993 "Diesel" 6.4 5 5.5 70 145 170 40
"BMW" "3 Series E90/E91/E92/E93" "320i Touring" "5" "Automatic" 1995 "Petrol" 9.5 5.5 7 69 164 320.6 41.1
"Chevrolet" "Camaro, Model Year 2002" "Z28" "3" "Manual" 5666 "Petrol" 19.6 9.9 13.5 75 322 1061 42
"Audi" "A6 Avant (Available From July 2001)" "2.4 V6 (170 bhp)" "4" "Manual" 2393 "Petrol" 14.2 7.7 10.1 72 242 229 36
"Fiat" "New Panda" "0.9 TwinAir Turbo 4x4" "5" "Manual" 875 "Petrol" 5.9 4.3 4.9 70.5 114 363 28
"Renault" "New Scenic (all versions and trim levels)" "2.0 16V From VIN JA0C05" "3" "Manual" 1998 "Petrol" 10.8 6.4 8 74 190 941 20
"Mercedes-Benz" "C-Class Saloon (W204)" "C 230 225/245/255 Tyres at rear" "4" "Manual" 2496 "Petrol" 13.5 6.9 9.3 74 221 179 11
"Porsche" "Boxster" "Sport Edition 6-Speed VarioCam Plus" "4" "Manual" 2687 "Petrol" 14.1 7.1 9.5 75 227 277 18
"Volvo" "S60 Model Year 03" "D5 (163 bhp)" "3" "Automatic" 2401 "Diesel" 10.7 5.8 7.6 72 201 200 400
"Ford" "Focus" "1.8 TCi Diesel 4 Door Saloon (15 inch tyre)" "3" "Manual" 1753 "Diesel" 7.2 4.4 5.4 71 144 109 489
"Ford" "New C-MAX, Model Year Post 2011½" "1.6 Duratec GTDi Stop-Start (182PS)" "5" "Manual" 1596 "Petrol" 8 5.3 6.4 69 149 340 34
"Citroen" "C5" "1.6i THP" "5" "Manual" 1598 "Petrol" 9.8 5.5 7.1 71.4 167 931.2 43.6
"Honda" "CR-Z Model Year 2012" "1.5 IMA S Sport GT" "5" "Manual" 1497 "Hybrid" 6.1 4.4 5 71 117 138 17
"Hyundai" "Getz" "1.4l DOHC" "4" "Manual" 1399 "Petrol" 7.5 5.1 6 71 141 327 6
"Volkswagen" "Caddy Maxi Life" "1.9 TDI PD 105PS DSG with DPF" "4" "Automatic" 1896 "Diesel" 8.4 6.1 7 71 185 48 234
"Lexus" "CT200h, MY2013" "CT200h F Sport" "5" "Automatic" 1798 "Hybrid" 4.1 4 4.1 67.7 94 187 3
"Toyota" "Prius" "1.5 VVT-I Hybrid" "4" "Automatic" 1497 "Hybrid" 5.9 4.6 5.1 71 120 630 50
"Toyota" "Avensis" "1.8 VVT-i Saloon/Hatchback" "4" "Automatic" 1794 "Petrol" 10.3 6.3 7.7 71 187 450 30
"Mercedes-Benz" "E Class (S211) Estate" "E270 CDI (265 Tyres)" "3" "Automatic" 2685 "Diesel" 10.5 6 7.6 73 202 32 417
"BMW" "1 Series E81/E82/E87/E88" "118d 5-door - with particle filter - from March 2010" "5" "Automatic" 1995 "Diesel" 6.7 4.5 5.3 69 140 306.3 157.7
"BMW" "5 Series F10/F11 From March 2010" "520d Saloon - 245/45 R18 tyres front & rear" "6" "Automatic" 1995 "Diesel" 5.6 4.5 4.9 73 129 175 41
"Audi" "A5 Cabriolet" "2.0 TFSI quattro 211ps 7speed S-tronic" "5" "Automatic" 1984 "Petrol" 9.5 6.6 7.7 74 177 521.4 25.3
"Peugeot" "307 Estate / SW" "1.6 (110 bhp) SW" "4" "Manual" 1587 "Petrol" 9.9 6.3 7.7 73 178 572 26
"Kia" "Sedona (2002 Model Year)" "2.5 V6" "3" "Automatic" 2497 "Petrol" 16.3 10 12.4 71.2 293 230 20
"Mazda" "Mazda2" "1.6 5 Door (66kW)" "4" "Manual" 1560 "Diesel" 5.1 3.7 4.2 69.5 112 109 234
"Hyundai" "i30 Tourer" "1.6l DOHC 81kW and 94kW" "5" "Automatic" 1582 "Diesel" 7.5 4.6 5.6 71 149 91 141
"Volkswagen" "T5 California Model Year 2010" "2.0 TDI (180ps) 7speed DSG" "5" "Automatic" 1968 "Diesel" 10.2 6.9 8.1 72 214 116.3 198.7
"Chrysler Jeep" "Jeep Grand Cherokee (03 Model Year)" "4.0L" "3" "Automatic" 3956 "Petrol" 22.6 11.5 15.7 71 372 1800 100
"Fiat" "Stilo Multi Wagon Range" "1.9 JTD 80" "3" "Manual" 1910 "Diesel" 7.5 4.6 5.6 72 149 300 400
"Kia" "Carens" "'1' 1.6 130bhp 5-speed manual" "5" "Manual" 1591 "Petrol" 9.4 6.2 7.4 72 174 525 25
"Ferrari" "All Models" "360 Modena" "3" "Manual" 3586 "Petrol" 30.2 12.9 19.3 74.6 440 750 60
"Volkswagen" "Golf Plus" "1.9 TDI (105ps) DSG" "4" "Automatic" 1896 "Diesel" 7.7 5.1 6 71 159 100 242
"Volkswagen" "New Golf Plus" "1.4 TSI (122ps)" "5" "Manual" 1390 "Petrol" 8.4 5.4 6.5 72 152 420.5 30.6
"Volkswagen" "CC" "2.0 TDI CR 140PS DSG BlueMotion Technology" "5" "Automatic" 1968 "Diesel" 6.1 4.5 5.1 69 134 155 122
"Cadillac" "BLS, MY2008 5 Door Wagon" "1.9D 150 hp" "4" "Manual" 1910 "Diesel" 8.3 5.1 6.3 74 167 64 192
"Mercedes-Benz" "S-Class Limousine, Model Year 2011" "S 350 BLUETEC with 17\" wheels" "6" "Automatic" 2987 "Diesel" 9.3 5.3 6.8 71 177 255 65
"Mercedes-Benz" "C-Class Saloon, Model Year 2012" "C 220 CDI with 17\" rear wheels ECO Start/Stop" "5" "Manual" 2143 "Diesel" 5.9 3.9 4.7 72 123 241 145
"BMW" "3 Series E46" "318 Ci Coupé" "3" "Automatic" 1895 "Petrol" 12.7 6.9 9.1 70 216 814 98
"Vauxhall" "Astra, Model Year 2001" "1.7 DTi 16v Estate" "3" "Manual" 1686 "Diesel" 6.2 4.1 4.9 72 132 117 421
"Volkswagen" "Touran" "1.6 TDI 105PS Bluemotion" "5" "Manual" 1598 "Diesel" 6.3 4.5 5.1 71 134 153 135
"Volkswagen" "California Motor Home" "2.0 TDI 140PS" "5" "Manual" 1968 "Diesel" 9.8 6.5 7.7 70 203 106 180
"Toyota" "Yaris Hybrid, MY2012" "T3 1.5 VVT-i hybrid E-CVT" "5" "Automatic" 1497 "Hybrid" 3.1 3.5 3.5 73 79 197 6
"Saab" "9-3 MY2008 4 Door Saloon" "1.9BTiDS" "4" "Automatic" 1910 "Diesel" 9.5 5 6.7 75 177 53 207
"BMW" "5 Series E60/E61" "525i Saloon" "4" "Automatic" 2996 "Petrol" 10.4 5.8 7.5 70 178 103 64
"Peugeot" "508 Saloon" "1.6 THP 156" "5" "Manual" 1598 "Petrol" 9 4.7 6.2 72 144 846 20
"Mercedes-Benz" "S-Class (V220) Limousine" "S 600" "3" "Automatic" 5786 "Petrol" 20.7 9.3 13.4 72 320 220 22
"Mercedes-Benz" "E-Class Saloon (W211)" "E320 CDI with DPF 225 Tyres at rear" "4" "Automatic" 2987 "Diesel" 10.3 5.6 7.3 72 194 30 203
"Lexus" "LS MY2011" "LS600h LWB" "5" "Automatic" 4969 "Hybrid" 11.3 8 9.3 71.2 219 295 16
"Mitsubishi" "Grandis" "2.0" "4" "Manual" 1968 "Diesel" 8.4 5.6 6.6 74 176 98 184
"Volkswagen" "Jetta" "2.0 TDI CR (170 PS) Sport with DPF" "4" "Manual" 1968 "Diesel" 7.1 4.5 5.4 73 143 129 129
"Toyota" "RAV4" "2.0 VVT-i" "3" "Automatic" 1988 "Petrol" 12.4 7.6 9.3 72 224 730 30
"Mercedes-Benz" "A-Class (W169) 5 Door MY09" "A 160 CDI no DPF 185 Tyres at rear" "4" "Manual" 1992 "Diesel" 6.2 4.3 4.9 70 128 190 187
"Audi" "A7 Sportback" "3.0 V6 TFSI quattro 310PS 7speed S-Tronic" "5" "Automatic" 2995 "Petrol" 10.8 6.6 8.2 72 190 264 24
"Volkswagen" "Passat Estate" "1.9 TDI (105ps) with DPF" "4" "Manual" 1896 "Diesel" 7.5 5 5.9 71 156 99 217
"Mercedes-Benz" "C-Class (S202) Estate" "C 200 Kompressor" "3" "Manual" 1998 "Petrol" 13.7 7.2 9.6 73 230 475 40
"Vauxhall" "Signum, MY2008 5 Door Hatchback" "1.9CDTi 16v 150PS with 16/17/18\" wheel" "4" "Automatic" 1910 "Diesel" 9.6 5.5 7 72 189 31 221
"Lexus" "GS MY2011" "GS450h 17\" wheels" "5" "Automatic" 3456 "Hybrid" 9.3 7.1 7.7 72.1 179 149 6
"Fiat" "Doblo" "1.4 Low Roof and Family" "4" "Manual" 1368 "Petrol" 9.2 6.3 7.4 73 174 349 49
"Chrysler Jeep" "08MY Chrysler 300C" "3.0crd Touring" "4" "Automatic" 2987 "Diesel" 10.9 6.8 8.3 72 220 18 179
"Mini" "MINI Convertible R57" "MINI Cooper Convertible - from March 2009" "4" "Automatic" 1598 "Petrol" 9.3 5.2 6.7 73 161 236 26
"Honda" "Jazz Model Year 2013" "1.3 IMA HE HE-T HS HS-T HX HX-T" "5" "Automatic" 1339 "Hybrid" 4.6 4.4 4.5 68 104 70 3
"Toyota" "Verso" "1.6 VVT-i" "4" "Manual" 1598 "Petrol" 9.5 6.4 7.5 73 178 570 20
"Toyota" "Auris Hybrid, Model Year 2010" "T4 1.8 VVT-i hybrid E-CVT" "5" "Automatic" 1798 "Hybrid" 4 4 4 70 93 171 6
"Cadillac" "XLR-V" "4.4 - V8 AUT" "4" "Automatic" 4368 "Petrol" 21.2 11.3 14.9 74 354 572 22
